id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type
38656023,41439828,7200,7200.0,7200.0,36 months,8.19,226.26,A,A5,7 years,OWN,87000.0,Not Verified,2021-01,Current,n,home_improvement,14.41,0,1996-03,0,12,35,4992.93,4992.93,2711.84,2711.84,2207.07,504.77,0.0,0.0,0.0,2022-01,226.26,2022-01,0.0,1,INDIVIDUAL
38656004,41439809,2000,2000.0,2000.0,36 months,10.49,65.0,B,B3,10+ years,RENT,71000.0,Not Verified,2021-01,Current,n,debt_consolidation,25.54,0,1999-01,0,11,19,1401.57,1401.57,778.83,778.83,598.43,180.4,0.0,0.0,0.0,2022-01,65.0,2022-01,0.0,1,INDIVIDUAL
38656003,41439808,6000,6000.0,6000.0,36 months,12.39,200.41,C,C1,< 1 year,MORTGAGE,102000.0,Verified,2021-01,Current,n,debt_consolidation,20.2,3,2003-04,1,9,51,4240.81,4240.81,2402.45,2402.45,1759.19,643.26,0.0,0.0,0.0,2022-01,200.41,2022-01,0.0,1,INDIVIDUAL
38655994,41439798,10000,10000.0,10000.0,36 months,6.99,308.73,A,A3,3 years,OWN,108000.0,Verified,2021-01,Current,n,debt_consolidation,3.2,0,1994-08,1,18,38,6896.05,6896.05,3700.88,3700.88,3103.95,596.93,0.0,0.0,0.0,2022-01,308.73,2022-01,0.0,1,INDIVIDUAL
38655931,41439735,7675,7675.0,7675.0,36 months,13.66,261.05,C,C3,10+ years,OWN,22000.0,Verified,2021-01,Current,n,debt_consolidation,20.57,0,1981-10,0,12,26,5455.24,5455.24,3126.78,3126.78,2219.76,907.02,0.0,0.0,0.0,2022-01,261.05,2022-01,0.0,1,INDIVIDUAL
38655925,41439729,12000,12000.0,12000.0,36 months,9.13247690944545,377.09,A,A5,10+ years,MORTGAGE,47256.0,Verified,2021-01,Current,n,debt_consolidation,32.15,0,1995-11,0,11,21,8321.68,8321.68,4519.62,4519.62,3678.32,841.3,0.0,0.0,0.0,2022-01,377.09,2022-01,0.0,1,INDIVIDUAL
38655917,41439721,12000,12000.0,12000.0,36 months,8.19,377.09,A,A5,10+ years,RENT,65000.0,Verified,2021-01,Current,n,debt_consolidation,27.9,1,1993-08,0,14,43,8321.68,8321.68,4519.62,4519.62,3678.32,841.3,0.0,0.0,0.0,2022-01,377.09,2022-01,0.0,1,INDIVIDUAL
38655869,41439673,18825,18825.0,18825.0,60 months,13.66,434.72,C,C3,10+ years,MORTGAGE,52000.0,Verified,2021-01,Late (31-120 days),n,debt_consolidation,8.98,2,1994-10,6,11,15,16748.37,16748.37,3883.91,3883.91,2076.63,1807.28,0.0,0.0,0.0,2021-10,434.72,2022-01,0.0,1,INDIVIDUAL
38655866,41439670,12000,12000.0,12000.0,60 months,12.39,269.31,C,C1,3 years,RENT,28000.0,Verified,2021-01,Current,n,debt_consolidation,28.33,0,2004-04,0,7,17,10152.5,10152.5,3215.2,3215.2,1847.5,1367.7,0.0,0.0,0.0,2022-01,269.31,2022-01,0.0,1,INDIVIDUAL
38655854,41439658,9000,9000.0,9000.0,36 months,10.563233515861603,292.48,B,B3,10+ years,RENT,70000.0,Not Verified,2021-01,Current,n,debt_consolidation,15.7,0,1993-12,0,13,39,4418.2,4418.2,5304.52,5304.52,4581.8,722.72,0.0,0.0,0.0,2022-01,442.48,2022-01,0.0,1,INDIVIDUAL
38655850,41439654,1500,1497.7537840330863,1500.0,36 months,6.99,46.31,A,A3,4 years,RENT,42000.0,Not Verified,2021-01,Current,n,debt_consolidation,9.57,0,2002-04,1,15,35,1034.4,1034.4,555.14,555.14,465.6,89.54,0.0,0.0,0.0,2022-01,46.31,2022-01,0.0,1,INDIVIDUAL
38655834,41439638,35000,35000.0,35000.0,60 months,22.99,986.47,F,F1,10+ years,RENT,131000.0,Verified,2021-01,Current,n,small_business,14.49,0,1989-05,0,13,40,30782.74,30782.74,11748.23,11748.23,4217.26,7530.97,0.0,0.0,0.0,2022-01,986.47,2022-01,0.0,1,INDIVIDUAL
38655809,41439612,10000,10000.0,10000.0,36 months,15.99,351.53,D,D2,10+ years,RENT,60000.0,Verified,2021-01,Current,n,debt_consolidation,22.36,0,2004-08,3,16,29,7179.89,7179.89,4209.48,4209.48,2820.11,1389.37,0.0,0.0,0.0,2022-01,351.53,2022-01,0.0,1,INDIVIDUAL
38655801,41439604,16000,16000.0,16000.0,60 months,19.99,423.82,E,E3,10+ years,OWN,65000.0,Verified,2021-01,Current,n,debt_consolidation,16.41,0,2003-09,2,8,14,13929.66,13929.66,5101.42,5101.42,2070.34,3031.08,0.0,0.0,0.0,2022-01,423.82,2022-01,0.0,1,INDIVIDUAL
38655738,41439541,2500,2499.6703856019194,2500.0,36 months,12.99,84.23,C,C2,1 year,MORTGAGE,48000.0,Not Verified,2021-01,Current,n,home_improvement,30.5,0,2006-02,0,15,24,1771.64,1771.64,1008.96,1008.96,728.36,280.6,0.0,0.0,0.0,2022-01,84.23,2022-01,0.0,1,INDIVIDUAL
38655682,41439481,15050,14926.36826660955,15050.0,60 months,24.99,441.65,F,F4,8 years,MORTGAGE,42000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,27.0,0,2004-08,1,12,22,0.0,0.0,16488.29,16488.29,15050.0,1438.29,0.0,0.0,0.0,2021-05,15184.23,2022-01,0.0,1,INDIVIDUAL
38655669,41439467,5000,5000.0,5000.0,36 months,19.99,185.8,E,E3,10+ years,RENT,37500.0,Verified,2021-01,Current,n,renewable_energy,33.15,0,2005-08,1,6,20,3650.7,3650.7,2224.05,2224.05,1349.3,874.75,0.0,0.0,0.0,2022-01,185.8,2022-01,0.0,1,INDIVIDUAL
38655644,41439442,24575,24575.0,24575.0,36 months,9.49,787.1,B,B2,6 years,MORTGAGE,56000.0,Verified,2021-01,Current,n,debt_consolidation,21.2,0,1978-02,0,9,24,17144.29,17144.29,9450.25,9450.25,7430.71,2019.54,0.0,0.0,0.0,2022-01,787.1,2022-01,0.0,1,INDIVIDUAL
38655614,41439410,4000,4000.0,4000.0,36 months,6.99,123.5,A,A3,6 years,RENT,45000.0,Not Verified,2021-01,Current,n,major_purchase,28.96,0,2005-09,1,13,23,2758.32,2758.32,1480.45,1480.45,1241.68,238.77,0.0,0.0,0.0,2022-01,123.5,2022-01,0.0,1,INDIVIDUAL
38655565,41439361,13250,13250.0,13250.0,60 months,21.99,365.88,E,E5,< 1 year,RENT,31628.0,Verified,2021-01,Current,n,credit_card,23.83,0,1998-07,0,11,28,11765.09,11765.09,4117.28,4117.28,1484.91,2632.37,0.0,0.0,0.0,2022-01,365.88,2022-01,0.0,1,INDIVIDUAL
38655556,41439352,15000,15000.0,15000.0,60 months,15.59,361.52,D,D1,5 years,MORTGAGE,60000.0,Not Verified,2021-01,Current,n,credit_card,26.86,0,2000-03,1,12,36,12851.0,12851.0,4325.25,4325.25,2149.0,2176.25,0.0,0.0,0.0,2022-01,361.52,2022-01,0.0,1,INDIVIDUAL
38655526,41439322,20000,20000.0,19900.0,36 months,10.49,649.96,B,B3,3 years,MORTGAGE,101000.0,Verified,2021-01,Current,n,debt_consolidation,11.01,0,1984-09,0,7,36,14016.21,13946.13,7776.21,7737.33,5983.79,1792.42,0.0,0.0,0.0,2022-01,649.96,2022-01,0.0,1,INDIVIDUAL
38655517,41439313,12000,12000.0,12000.0,36 months,14.31,411.95,C,C4,10+ years,OWN,50000.0,Not Verified,2021-01,Current,n,debt_consolidation,14.43,0,1981-06,0,10,20,8553.56,8553.56,4939.36,4939.36,3446.44,1492.92,0.0,0.0,0.0,2022-01,411.95,2022-01,1.0,1,INDIVIDUAL
38655511,41439307,25000,25000.0,25000.0,60 months,19.24,651.82,E,E2,2 years,MORTGAGE,115000.0,Verified,2021-01,Current,n,credit_card,17.77,0,2001-08,2,8,25,21707.85,21707.85,7804.15,7804.15,3292.15,4512.0,0.0,0.0,0.0,2022-01,651.82,2022-01,0.0,1,INDIVIDUAL
38655449,41439245,5000,5000.0,5000.0,36 months,6.49,153.23,A,A2,10+ years,MORTGAGE,40000.0,Not Verified,2021-01,Current,n,credit_card,11.85,0,2000-12,0,11,31,3439.88,3439.88,1836.96,1836.96,1560.12,276.84,0.0,0.0,0.0,2022-01,153.23,2022-01,0.0,1,INDIVIDUAL
38655432,41439228,8800,8800.0,8800.0,36 months,16.49,311.52,D,D3,10+ years,RENT,67000.0,Verified,2021-01,Current,n,debt_consolidation,19.27,0,1990-05,2,9,22,6331.85,6331.85,3730.18,3730.18,2468.15,1262.03,0.0,0.0,0.0,2022-01,311.52,2022-01,0.0,1,INDIVIDUAL
38655417,41439213,35000,35392.17613390906,35000.0,36 months,12.39,1169.04,C,C1,4 years,MORTGAGE,187000.0,Not Verified,2021-01,Current,n,credit_card,9.46,1,1998-09,1,10,23,23091.19,23091.19,15646.92,15646.92,11908.81,3738.11,0.0,0.0,0.0,2022-01,1169.04,2022-01,0.0,1,INDIVIDUAL
38655413,41439208,35000,35000.0,35000.0,60 months,19.24,912.55,E,E2,10+ years,MORTGAGE,100770.0,Verified,2021-01,Current,n,debt_consolidation,17.26,0,2003-02,0,10,26,30390.96,30390.96,11092.7,11092.7,4609.04,6483.66,0.0,0.0,0.0,2022-01,912.55,2022-01,1.0,1,INDIVIDUAL
38655401,41439196,25000,25000.0,25000.0,36 months,17.14,893.07,D,D4,< 1 year,MORTGAGE,84000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,17.49,1,1999-12,4,9,27,0.0,0.0,27861.64,27861.64,25000.0,2861.64,0.0,0.0,0.0,2021-09,21657.76,2022-01,0.0,1,INDIVIDUAL
38655386,41439181,13000,13000.0,13000.0,60 months,14.31,304.59,C,C4,10+ years,MORTGAGE,45000.0,Not Verified,2021-01,Current,n,credit_card,9.52,0,2003-03,1,10,26,11082.7,11082.7,3644.74,3644.74,1917.3,1727.44,0.0,0.0,0.0,2022-01,304.59,2022-01,0.0,1,INDIVIDUAL
38655301,41439092,14300,14300.0,14300.0,60 months,18.54,367.34,E,E1,2 years,MORTGAGE,28700.0,Verified,2021-01,Fully Paid,n,debt_consolidation,29.99,0,2000-12,0,8,14,0.0,0.0,16381.89,16381.89,14300.0,2081.89,0.0,0.0,0.0,2021-10,13457.9,2021-11,0.0,1,INDIVIDUAL
38655201,41438988,5000,5000.0,5000.0,36 months,8.19,157.13,A,A5,10+ years,MORTGAGE,145000.0,Verified,2021-01,Current,n,home_improvement,18.99,0,1983-02,1,16,54,3467.25,3467.25,1883.28,1883.28,1532.75,350.53,0.0,0.0,0.0,2022-01,157.13,2022-01,0.0,1,INDIVIDUAL
38655130,41438916,20000,20000.0,20000.0,36 months,8.67,632.93,B,B1,7 years,MORTGAGE,150000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,12.65,0,2002-09,0,17,32,0.0,0.0,20554.82,20554.82,20000.0,554.82,0.0,0.0,0.0,2021-05,18675.3,2021-05,1.0,1,INDIVIDUAL
38655125,41438911,15000,15000.0,15000.0,36 months,12.99,505.34,C,C2,3 years,MORTGAGE,360000.0,Verified,2021-01,Fully Paid,n,credit_card,2.8,2,2002-11,0,6,21,0.0,0.0,16264.94,16264.94,15000.0,1264.94,0.0,0.0,0.0,2021-10,2233.04,2021-10,0.0,1,INDIVIDUAL
38655110,41438895,5200,5200.0,5200.0,36 months,12.39,173.69,C,C1,10+ years,MORTGAGE,55000.0,Not Verified,2021-01,Current,n,credit_card,20.6,0,2008-08,1,6,13,3675.35,3675.35,2080.7,2080.7,1524.65,556.05,0.0,0.0,0.0,2022-01,173.69,2022-01,0.0,1,INDIVIDUAL
38655085,41438867,18400,18400.0,18400.0,60 months,15.59,443.46,D,D1,< 1 year,RENT,88000.0,Not Verified,2021-01,Current,n,debt_consolidation,13.28,0,2002-01,3,18,36,15763.95,15763.95,5289.65,5289.65,2636.05,2653.6,0.0,0.0,0.0,2022-01,443.46,2022-01,0.0,1,INDIVIDUAL
38655068,41438850,7425,7425.0,7425.0,36 months,18.54,270.45,E,E1,1 year,RENT,65000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,17.58,0,2005-08,2,15,25,0.0,0.0,7976.73,7976.73,7425.0,551.73,0.0,0.0,0.0,2021-06,6902.58,2021-06,0.0,1,INDIVIDUAL
38655066,41438848,18000,18000.0,18000.0,36 months,11.44,593.06,B,B4,10+ years,MORTGAGE,140000.0,Not Verified,2021-01,Fully Paid,n,debt_consolidation,6.19,0,2004-03,0,11,16,0.0,0.0,19038.73,19038.73,18000.0,1038.73,0.0,0.0,0.0,2021-07,16096.31,2022-01,0.0,1,INDIVIDUAL
38655061,41438843,10000,10000.0,10000.0,60 months,18.54,256.89,E,E1,6 years,OWN,30000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,23.2,1,2011-02,2,7,15,0.0,0.0,10882.18,10882.18,10000.0,882.18,0.0,0.0,0.0,2021-07,9618.33,2021-07,0.0,1,INDIVIDUAL
38655025,41438806,26125,26125.0,26125.0,36 months,15.59,913.2,D,D1,8 years,RENT,68500.0,Verified,2021-01,Current,n,debt_consolidation,17.76,0,2006-03,1,19,32,18725.55,18725.55,10935.77,10935.77,7399.45,3536.32,0.0,0.0,0.0,2022-01,913.2,2022-01,0.0,1,INDIVIDUAL
38655010,41438790,20000,20000.0,20000.0,60 months,17.86,506.35,D,D5,9 years,MORTGAGE,70800.0,Verified,2021-01,Fully Paid,n,debt_consolidation,26.46,0,2003-11,0,11,28,0.0,0.0,20464.17,20464.17,20000.0,464.17,0.0,0.0,0.0,2021-02,20503.86,2022-01,0.0,1,INDIVIDUAL
38654951,41438726,12000,12000.0,12000.0,36 months,6.99,370.48,A,A3,3 years,MORTGAGE,154000.0,Not Verified,2021-01,Current,n,other,3.59,0,1993-10,1,12,23,8275.21,8275.21,4441.1,4441.1,3724.79,716.31,0.0,0.0,0.0,2022-01,370.48,2022-01,0.0,1,INDIVIDUAL
38654920,41438691,14000,14000.0,14000.0,36 months,10.49,454.97,B,B3,10+ years,MORTGAGE,54500.0,Not Verified,2021-01,Current,n,debt_consolidation,26.36,0,1993-02,1,8,19,9811.37,9811.37,5443.32,5443.32,4188.63,1254.69,0.0,0.0,0.0,2022-01,454.97,2022-01,0.0,1,INDIVIDUAL
38654901,41438672,6000,5942.485307546101,6000.0,36 months,14.99,207.97,C,C5,7 years,RENT,40000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,13.05,0,2006-09,1,7,11,0.0,0.0,6468.94,6468.94,6000.0,468.94,0.0,0.0,0.0,2021-07,5434.09,2022-01,0.0,1,INDIVIDUAL
38654889,41438660,5000,5000.0,5000.0,36 months,6.99,154.37,A,A3,10+ years,RENT,50000.0,Not Verified,2021-01,Current,n,credit_card,16.3,1,2002-12,0,10,13,3447.96,3447.96,1848.56,1848.56,1552.04,296.52,0.0,0.0,0.0,2022-01,154.37,2022-01,0.0,1,INDIVIDUAL
38654876,41438646,6600,6600.0,6600.0,36 months,9.49,211.39,B,B2,5 years,MORTGAGE,51000.0,Not Verified,2021-01,Current,n,debt_consolidation,23.11,7,2000-02,0,16,28,4604.34,4604.34,2533.2,2533.2,1995.66,537.54,0.0,0.0,0.0,2022-01,211.39,2022-01,0.0,1,INDIVIDUAL
38654836,41438603,11200,11200.0,11200.0,60 months,16.49,275.29,D,D3,3 years,RENT,94000.0,Not Verified,2021-01,Charged Off,n,debt_consolidation,26.95,0,1997-04,1,16,36,0.0,0.0,1906.51,1906.51,885.52,1020.99,0.0,0.0,0.0,2021-08,275.29,2022-01,0.0,1,INDIVIDUAL
38654802,41438568,14350,14350.0,14350.0,60 months,19.99,380.11,E,E3,< 1 year,MORTGAGE,40000.0,Not Verified,2021-01,Current,n,debt_consolidation,12.51,0,1996-09,3,8,39,12493.21,12493.21,4529.45,4529.45,1856.79,2672.66,0.0,0.0,0.0,2022-01,380.11,2022-01,0.0,1,INDIVIDUAL
38654722,41438479,5375,5375.0,5375.0,36 months,12.99,181.08,C,C2,10+ years,RENT,44000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,34.37,0,2004-03,2,9,42,0.0,0.0,5428.05,5428.05,5375.0,53.05,0.0,0.0,0.0,2021-02,5435.81,2022-01,0.0,1,INDIVIDUAL
38654719,41438476,7000,7000.0,6900.0,36 months,8.19,219.97,A,A5,9 years,RENT,50000.0,Not Verified,2021-01,Current,n,debt_consolidation,23.38,1,1990-09,2,22,45,4854.3,4784.96,2636.46,2598.8,2145.7,490.76,0.0,0.0,0.0,2022-01,219.97,2022-01,0.0,1,INDIVIDUAL
38654702,41438459,9600,9600.0,9500.0,36 months,9.49,307.48,B,B2,10+ years,OWN,120000.0,Verified,2021-01,Current,n,home_improvement,33.81,0,2001-04,0,16,29,6697.17,6627.41,3684.7,3646.32,2902.83,781.87,0.0,0.0,0.0,2022-01,307.48,2022-01,0.0,1,INDIVIDUAL
38654699,41438456,9000,9000.0,9000.0,36 months,12.99,303.21,C,C2,< 1 year,RENT,71000.0,Not Verified,2021-01,Current,n,debt_consolidation,15.42,0,1997-02,0,13,30,6378.12,6378.12,3632.02,3632.02,2621.88,1010.14,0.0,0.0,0.0,2022-01,303.21,2022-01,0.0,1,INDIVIDUAL
38654661,41438416,13600,13600.0,13600.0,60 months,18.54,349.36,E,E1,10+ years,RENT,34000.0,Verified,2021-01,Current,n,debt_consolidation,38.93,0,2003-09,1,15,20,11779.56,11779.56,4164.3,4164.3,1820.44,2343.86,0.0,0.0,0.0,2022-01,349.36,2022-01,0.0,1,INDIVIDUAL
38654653,41438408,8000,8000.0,8000.0,36 months,7.49,248.82,A,A4,2 years,RENT,118000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,14.41,1,1999-12,0,12,14,0.0,0.0,8463.13,8463.13,8000.0,463.13,0.0,0.0,0.0,2021-11,6230.41,2021-11,0.0,1,INDIVIDUAL
38654574,41438319,35000,35000.0,35000.0,60 months,12.99,796.18,C,C2,9 years,MORTGAGE,98990.0,Verified,2021-01,Current,n,debt_consolidation,18.56,0,1994-02,0,14,28,29683.17,29683.17,9503.64,9503.64,5316.83,4186.81,0.0,0.0,0.0,2022-01,796.18,2022-01,0.0,1,INDIVIDUAL
38654532,41438274,7400,7400.0,7400.0,36 months,9.49,237.01,B,B2,10+ years,MORTGAGE,135000.0,Not Verified,2021-01,Fully Paid,n,home_improvement,16.32,0,1981-01,1,17,33,0.0,0.0,7807.04,7807.04,7400.0,407.04,0.0,0.0,0.0,2021-12,3437.65,2021-12,0.0,1,INDIVIDUAL
38654525,41438266,28000,28000.0,28000.0,60 months,14.31,656.02,C,C4,10+ years,MORTGAGE,420000.0,Verified,2021-01,Fully Paid,n,home_improvement,1.93,1,1988-01,2,8,26,0.0,0.0,30548.85,30548.85,28000.0,2548.85,0.0,0.0,0.0,2021-09,25978.97,2021-09,0.0,1,INDIVIDUAL
38654523,41438264,20000,20000.0,20000.0,36 months,12.99,673.79,C,C2,10+ years,RENT,160000.0,Verified,2021-01,Current,n,debt_consolidation,4.56,0,1979-11,1,10,36,14173.73,14173.73,8056.61,8056.61,5826.27,2230.34,0.0,0.0,0.0,2022-01,673.79,2022-01,0.0,1,INDIVIDUAL
38654493,41438234,30000,30000.0,30000.0,60 months,9.49,629.91,B,B2,10+ years,MORTGAGE,185000.0,Verified,2021-01,Current,n,debt_consolidation,13.32,0,1994-01,0,14,35,25077.63,25077.63,7543.1,7543.1,4922.37,2620.73,0.0,0.0,0.0,2022-01,629.91,2022-01,0.0,1,INDIVIDUAL
38654463,41438204,6000,6000.0,6000.0,36 months,6.99,185.24,A,A3,6 years,MORTGAGE,85000.0,Not Verified,2021-01,Current,n,credit_card,18.64,1,2000-07,0,8,30,4137.6,4137.6,2218.22,2218.22,1862.4,355.82,0.0,0.0,0.0,2022-01,185.24,2022-01,0.0,1,INDIVIDUAL
38654459,41438200,10000,10000.0,10000.0,36 months,8.19,314.25,A,A5,10+ years,MORTGAGE,110000.0,Verified,2021-01,Current,n,debt_consolidation,14.37,0,2002-10,1,9,31,6934.63,6934.63,3761.9,3761.9,3065.37,696.53,0.0,0.0,0.0,2022-01,314.25,2022-01,0.0,1,INDIVIDUAL
38654329,41438068,4000,4038.1142903680225,4000.0,36 months,17.14,142.89,D,D4,2 years,MORTGAGE,32000.0,Verified,2021-01,Current,n,credit_card,24.89,0,1999-10,3,20,28,2886.1,2886.1,1707.06,1707.06,1113.9,593.16,0.0,0.0,0.0,2022-01,142.89,2022-01,0.0,1,INDIVIDUAL
38654213,41437938,24000,24000.0,23875.0,36 months,9.49,768.68,B,B2,1 year,MORTGAGE,80000.0,Verified,2021-01,Fully Paid,n,credit_card,27.14,0,2003-06,2,13,25,0.0,0.0,24984.59,24854.46,24000.0,984.59,0.0,0.0,0.0,2021-06,21922.52,2021-12,0.0,1,INDIVIDUAL
38654190,41437912,6000,6000.0,6000.0,36 months,8.619460595361172,188.55,A,A5,6 years,MORTGAGE,175000.0,Not Verified,2021-01,Fully Paid,n,credit_card,14.27,1,1985-03,1,7,16,0.0,0.0,6214.24,6214.24,6000.0,214.24,0.0,0.0,0.0,2021-06,5465.5,2022-01,0.0,1,INDIVIDUAL
38654165,41437881,25000,25000.0,25000.0,36 months,6.99,771.82,A,A3,10+ years,MORTGAGE,115000.0,Verified,2021-01,Fully Paid,n,credit_card,21.2,1,2003-03,0,17,33,0.0,0.0,25580.39,25580.39,25000.0,580.39,0.0,0.0,0.0,2021-05,23284.35,2021-05,0.0,1,INDIVIDUAL
38654160,41437874,28000,28000.0,28000.0,36 months,8.19,879.88,A,A5,5 years,OWN,225000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,10.38,0,1987-07,2,17,44,0.0,0.0,28971.91,28971.91,28000.0,971.91,0.0,0.0,0.0,2021-06,25477.87,2021-06,0.0,1,INDIVIDUAL
38654156,41437870,2200,2083.3274547097444,2200.0,36 months,10.49,71.5,B,B3,10+ years,RENT,105000.0,Not Verified,2021-01,Fully Paid,n,debt_consolidation,11.49,0,1993-09,0,9,15,0.0,0.0,2346.01,2346.01,2200.0,146.01,0.0,0.0,0.0,2021-09,1848.07,2021-09,0.0,1,INDIVIDUAL
38646145,41429962,5000,5000.0,5000.0,36 months,9.323700801065012,158.24,B,B1,6 years,MORTGAGE,90000.0,Not Verified,2021-01,Current,n,credit_card,13.21,0,1992-09,1,13,37,3474.96,3474.96,1896.47,1896.47,1525.04,371.43,0.0,0.0,0.0,2022-01,158.24,2022-01,0.0,1,INDIVIDUAL
38646098,41429913,12325,12325.0,12325.0,36 months,12.99,415.22,C,C2,< 1 year,RENT,110000.0,Not Verified,2021-01,Current,n,credit_card,5.05,1,2006-08,1,6,11,8734.6,8734.6,4973.75,4973.75,3590.4,1383.35,0.0,0.0,0.0,2022-01,415.22,2022-01,0.0,1,INDIVIDUAL
38646054,41429868,9000,9000.0,9000.0,36 months,6.449776618682542,273.92,A,A1,1 year,MORTGAGE,130000.0,Verified,2021-01,Current,n,home_improvement,14.13,0,1994-07,0,9,14,6178.53,6178.53,3284.02,3284.02,2821.47,462.55,0.0,0.0,0.0,2022-01,273.92,2022-01,0.0,1,INDIVIDUAL
38646016,41429828,7500,7468.031165378172,7500.0,36 months,11.44,247.11,B,B4,10+ years,MORTGAGE,48000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,13.03,0,2003-03,1,8,17,0.0,0.0,8132.95,8132.95,7500.0,632.95,0.0,0.0,0.0,2021-10,6160.84,2022-01,0.0,1,INDIVIDUAL
